tbl	id	name	purchase_price	sale_price	stock
product	1	飞机杯	999.00	1999.00	441
product	5	测试可乐	2.50	3.50	1
product	6	批量可乐	2.50	3.50	0
product	7	批量雪碧	2.50	3.50	0
supplier	1	老陈成人	NULL	NULL	NULL
supplier	2	测试供应商	NULL	NULL	NULL
supplier	3	老陈成人	NULL	NULL	NULL
supplier	5	提供商1	NULL	NULL	NULL
supplier	6	提供商2	NULL	NULL	NULL
supplier	7	提供商3	NULL	NULL	NULL
supplier	8	提供商4	NULL	NULL	NULL
supplier	9	提供商5	NULL	NULL	NULL
supplier	10	提供商6	NULL	NULL	NULL
supplier	11	提供商7	NULL	NULL	NULL
supplier	12	提供商7	NULL	NULL	NULL
supplier	13	提供商8	NULL	NULL	NULL
supplier	14	提供商9	NULL	NULL	NULL
supplier	15	提供商10、	NULL	NULL	NULL
supplier	16	提供商11	NULL	NULL	NULL
purchase_order	1	P01786560140036	9990.00	1.00	NULL
purchase_order	2	P01786560140455	9990.00	1.00	NULL
purchase_order	3	P01786560489255	2.50	1.00	NULL
purchase_order	4	P01786568741455	199800.00	1.00	NULL
purchase_order	5	P01786569000586	232767.00	1.00	NULL
sale_order	1	S01786568369717	3998.00	1.00	NULL
sale_order	2	S01786568750945	9995.00	1.00	NULL
sale_order	3	S01786569012391	9995.00	1.00	NULL
stock_record	1	P01786560140036	10.00	10.00	1
stock_record	2	P01786560140455	10.00	20.00	1
stock_record	3	P01786560489255	1.00	1.00	5
stock_record	4	S01786568369717	2.00	18.00	1
stock_record	5	P01786568741455	200.00	218.00	1
stock_record	6	S01786568750945	5.00	213.00	1
stock_record	7	P01786569000586	233.00	446.00	1
stock_record	8	S01786569012391	5.00	441.00	1
